t,year,mo,yrmo,M1,M2,M3,M4,S1,S2,S3,S4,C1,C2,C3,C4,C2sur,C3sur,C4sur,Seg1in,Seg2in,Seg3in,Seg4in,Seg12,Seg23,Seg34,outflow,S1set,S2set,S3set,S4set,S1res,S2res,S3res,S4res,S1Bur,S2Bur,S3Bur,S4Bur,Temp
1,1986,1,1/1986,2419.00490823406,2118.5998049535,1547.05970600839,5680.18918257488,1149420.19228722,1138588.99006103,1506653.97984551,670210.667698434,124.06687306565848,39.09875090121444,17.423715327802864,131.31325696981867,39.09875090121444,17.423715327802864,131.31325696981867,3055.490589988915,84.89386552971118,69.14441387966136,7428.276274168531,734.2586944753051,253.13867771760658,117.45189517222002,5994.622089422584,1259.6934409366756,569.8166099516362,369.3164865008293,1146.6901545878843,0.003031643920967076,0.003003076171238883,0.00397386300471231,0.0017677087196911897,959.5602292874283,950.5181131306381,1257.7865327740064,559.5060068397411,5.098768404
2,1986,2,2/1986,3016.7592985492743,2092.7086564093347,1322.8160830328966,5691.592081783331,1150079.8543941155,1138337.9138078773,1505831.2132837453,671172.679009952,147.89081329004537,37.9348737504542,14.681749624256792,130.19253241375117,37.9348737504542,14.681749624256792,130.19253241375117,3178.0827968146764,135.97210647425578,115.718046372968,8303.745784768194,1406.3531655122583,432.7480618455227,195.2037607178132,8988.758024101879,1844.1910418665145,672.6847433355807,378.66651665825884,1378.9841021849056,0.0035856169279365534,0.0035490089473933055,0.004694746950254085,0.0020925226280869317,960.1109291331353,950.3085093767972,1257.0996698878707,560.309114181035,6.968796921
3,1986,3,3/1986,2832.5224959277134,2254.8269725508417,1237.7891589142935,4649.999858724805,1151126.3093045126,1138264.1866001233,1505039.8069848435,672223.5880082443,137.63456348733223,40.728429238424674,13.698077401462562,106.14270662556068,38.836497586203905,10.383766604080208,98.81531040566038,5962.007755804779,454.2408391777016,407.09873906227887,16323.595387687847,3847.6278281981595,1329.9339204121395,512.5802187656457,15180.587919191128,2232.4896633644935,937.5507883714124,458.62976959825613,1458.6221185204872,0.004533688625575531,0.004483031404960985,0.005927570066649008,0.0026475395533595955,960.9845317725334,950.2469603481202,1256.4389872108745,561.1864351869892,9.581731105
4,1986,4,4/1986,2670.2190220471616,3244.6336304934503,1923.2330979617914,4633.459891214476,1152589.8301311284,1138793.2662134038,1504533.0593460796,673583.0343227512,128.61404565303707,58.399637667058194,21.221844896724427,105.54300624752253,55.68047236810249,16.083077730369308,98.25404594959448,3665.8425187558314,34.82497305018243,21.035079888299272,7907.861530338389,-101.4124906010172,-10.021414973946651,24.714868018259676,3632.608618639092,3950.1918304495243,2540.4324409282644,1342.7199655722718,2739.293876774313,0.008049750507923342,0.007953394549801046,0.010507741298811131,0.004704340807910165,962.2063098388817,950.6886471728665,1256.0159435896594,562.3213296546569,15.9865486
5,1986,5,5/1986,2309.1438816410496,1210.8457279188135,788.5557758357072,4964.660762973013,1155717.5916270365,1139852.8407894494,1504409.7809719378,676816.4290155433,118.43227761908358,22.346153051183,8.881086686502826,114.7718418492406,21.32230531204523,6.740688233907521,106.87670780893397,4336.157899259565,88.73211544472926,69.98421217124859,7376.173759479049,487.1644471511638,186.74566141727686,121.58558414578879,4203.772716177944,4824.846243766964,1306.7104238372108,755.315509589356,4021.399565594322,0.010691120233518531,0.010544361232956228,0.013916743991245489,0.00626098094469514,964.8174311314333,951.573202385973,1255.913028201752,565.0206357688278,19.12908446
2,1986,6,6/1986,3180.862603037519,2689.412494904385,3252.8498837921766,5229.996981213693,1157601.981080142,1137800.6577063804,1500736.3521926533,679386.7090336726,194.55447881251123,53.032912550895894,38.64858724086474,125.67130967054094,50.71176951619801,29.458674827975265,117.1201399504181,4997.139081458425,59.98499527296323,39.893414543318194,6857.621090094269,248.56920141678145,469.66105610587744,727.5228930460671,4740.406294621148,10570.433943581482,4267.509207089513,4528.474759132823,6146.168216722733,5549.578385386044,5454.650251197355,7194.574783398593,3257.0001238714226,966.3905592075033,949.8599966471638,1252.846372347458,567.1663597608705,22.76711188
3,1986,7,7/1986,2803.761717055118,2681.3550842784916,3777.8353421786023,4519.032584589965,1161781.8955223202,1136676.3291546686,1498663.6713904075,682901.725148841,291.6125994695513,62.636134431920105,51.26423827392925,119.51512577497245,58.278370578398956,39.81714794148911,86.00000696958452,5356.238740403999,134.16567666523923,108.59774218114453,6177.7546890009635,1664.523193804754,905.7520712163682,1301.437906779864,5193.19033293484,16156.381219871188,5948.441212403299,7135.223318655079,7178.201371722077,7157.988003219645,7003.307211957279,9233.58904284763,4207.504330058216,969.8800399800283,948.9213834488625,1251.1160546801784,570.1007693806531,25.57243386
4,1986,8,8/1986,1829.9712397494004,2697.352049285789,3753.6685616727395,3649.2955478549034,1165970.58728774,1136098.7047473276,1497166.4166663026,686213.0976002784,324.89960700458005,76.70408095776268,58.93610358555674,107.60685405651842,72.31140136257059,46.55282366457189,78.24352217427348,6335.545916436171,548.9468177321467,494.5114003857876,10462.996132016478,5388.167611512608,727.3279935238511,-85.64503558634577,3206.928153655722,7304.685769231883,6490.630365906264,7379.3995076029905,6199.206446827385,7515.075565167073,7322.541159057225,9649.744922854608,4422.875961450665,973.3768482471971,948.4391704057392,1249.866114844421,572.8651729730718,26.0765057
2,1986,9,9/1986,849.7946815300007,1051.2153926785898,653.0302641381298,3361.1257185441013,1169423.9871955896,1139802.560154696,1500018.9885473263,693284.5871768204,68.42126166589718,22.741529496816998,8.349614193961278,85.15522583370463,21.050376319640318,6.4492471526938875,61.03306030957073,3887.0444554280484,38.20358420346417,23.12896600728389,5842.316895871235,207.71826687008203,238.0092418167697,167.58066332329963,3212.1123717118758,3343.0644185897804,1748.9513388356027,938.0458854391604,4060.5911845587116,0.015161067591614336,0.014777038819805032,0.01944708636309795,0.008988129713003936,976.2598193570079,951.5312270511595,1252.2475020399663,578.768601679999,22.90295102
3,1986,10,10/1986,852.1602900266687,205.53380561576338,126.3083254817935,2398.783573463484,1172123.104117696,1139834.1860262665,1499344.170368933,697006.1514217174,120.21988979886622,5.282962779539659,1.84223962122211,66.8863854152997,5.282962779539659,1.84223962122211,66.8863854152997,3694.236088683666,28.625487575817377,14.66364986530532,5871.685366392265,503.63280231940706,70.91128036873152,45.93212340458073,2860.7083006175735,1679.2025619573635,195.72809937332215,100.41253254807435,1634.3549233637295,0.008934532186736024,0.008688409252251329,0.011428781415617529,0.005312943557168399,978.5130991149493,951.5576289960524,1251.6841495859799,581.8754420366446,16.96462633
4,1986,11,11/1986,1301.7288116547284,430.71757389289326,106.32096823736319,2778.6313397450085,1173697.4223583927,1139264.5343890106,1498201.4778171377,698793.3094384316,301.83413160442745,14.098329351029076,1.8432720726062901,88.30889645872385,14.098329351029076,1.8432720726062901,88.30889645872385,1850.9429421681684,25.96045014048337,17.786080487946382,4828.731841957435,1593.6400130738082,108.86075267531405,20.06404141292517,2469.140138012591,1624.4366702307445,342.215994370535,67.00930794406412,1493.4228714679105,0.0069971206222933435,0.006791845339323427,0.008931685677318975,0.0041659298069917925,979.8273732003979,951.0820717896216,1250.7302057329284,583.3673992580318,14.21672222
5,1986,12,12/1986,745.6748582161053,759.3440132395343,163.3791327035802,3000.4769917235362,1174005.735211181,1138959.0600768293,1497057.2532431853,700249.5458835342,190.91442240387505,26.22531010274209,2.9388295321612556,98.01655205102698,26.22531010274209,2.9388295321612556,98.01655205102698,2805.8399048157994,123.51390886886145,106.05180201774486,12110.217546229247,672.2362445440341,-44.286845159358805,-3894.0061533355183,1404.811230893542,580.8059346813554,376.2016434513806,63.431634284966435,987.8493864073257,0.004456599818277346,0.004323560428987751,0.005682923756376912,0.002658191442626976,980.0847592753067,950.8270553883046,1249.7749829154545,584.5830961689925,9.169932113
6,1987,1,1/1987,1437.0203994384108,1857.1241540191963,4361.067158942593,5239.861698704406,1174068.443077504,1138731.44175763,1496930.5563543972,701588.2633724519,90.70656080919927,37.03640153765059,52.2853605273169,126.73243883082657,37.03640153765059,52.2853605273169,126.73243883082657,5939.01905313435,671.535859668785,607.0838964020558,24222.695333186126,4000.8581885470326,1699.1858073815342,2389.3210387098684,25208.257602861024,912.8658766488012,555.4015811920934,1142.1656849819788,1157.7041225379176,0.00331883114114559,0.003218941274326847,0.004231490741322488,0.001983234444696712,980.1371091252491,950.6370348126907,1249.6692136793897,585.70068577568,5.873497041
