t,year,mo,yrmo,M1,M2,M3,M4,S1,S2,S3,S4,C1,C2,C3,C4,C2sur,C3sur,C4sur,Seg1in,Seg2in,Seg3in,Seg4in,Seg12,Seg23,Seg34,outflow,S1set,S2set,S3set,S4set,S1res,S2res,S3res,S4res,S1Bur,S2Bur,S3Bur,S4Bur,Temp
1,1999,1,1/1999,378.882016764236,544.910292152155,420.046103596024,1963.96840185625,1226376.84643402,1103588.97360924,1421859.7386117,959808.690185791,37.55591654118186,12.553128555827774,5.6393146906323715,51.54103984260303,12.553128555827774,5.6393146906323715,51.54103984260303,3415.401403710351,707.5608192718341,638.619126864692,16509.219956476052,989.171903854007,85.17637999018969,-1128.3788130306575,6691.348999241835,315.929797484048,177.48451373132494,116.84503745297492,459.18357356218405,0.0035829511158034567,0.0032242172182874395,0.004154068915919384,0.002804152432801211,1023.8052679545796,921.2993608963367,1186.9985110335317,801.2685465304612,6.242299518
2,1999,2,2/1999,953.2413964797661,2516.2816087156825,2716.797900933438,3823.3861419372415,1226085.9420050685,1103274.7432148142,1421215.00059369,960057.1554202783,24.549280123463312,34.800668820603434,24.034110722265105,73.8322766094485,34.800668820603434,24.034110722265105,73.8322766094485,1642.0711769110458,215.73581269678178,184.02914696921684,4986.482077130927,890.7090226159037,1957.1095485719816,1968.7061651889685,11732.412597135939,683.1705920460794,1041.4227181655358,1040.521927004907,1264.8817657782236,0.0049840988727426075,0.0044848653879758895,0.005777307968151071,0.0039026789413094034,1023.5624147992074,921.0370347328087,1186.4602701321248,801.4759705508277,9.935391079
3,1999,3,3/1999,937.7677269353527,1301.1391477627487,1665.1533731165334,1876.4247692695833,1225838.5655044822,1103280.0610410161,1421084.8708055264,960314.622259039,44.54526824237352,23.287072904616835,18.289148189766706,42.598837121982065,22.199390263811004,13.85595864385634,39.65420486138537,2611.0168419925585,424.58708364686385,377.2280421319281,6290.009175268879,1190.072132496494,703.009683520945,608.0622377749074,4842.349386485648,684.4706591740388,505.1178852149873,577.0436955097542,550.7991806970454,0.004551742274123393,0.00409666218322242,0.005276724247046904,0.0035658077544626927,1023.3558996768738,921.0414741663282,1186.3516350392274,801.6909093003753,8.923062218
4,1999,4,4/1999,1208.413336193982,1636.1893161019318,1555.263605136103,2288.230283614145,1225737.847898257,1103071.4417522992,1420601.1143907898,960359.692999421,53.388689880643824,28.427473472955985,16.66956010438117,51.03353974215946,27.07580529730201,12.60878498409356,47.49033485819092,1830.588858109519,218.78671650132475,189.4423128696537,6388.855498105851,706.5794318255308,354.44210603480775,174.24983094446182,4149.6527808907995,1607.5607547571149,1173.1655651949973,996.8734486696584,1248.9471624408063,0.00792036000036466,0.007127725508174633,0.009179509519255884,0.006205563866235834,1023.2718184940555,920.8673143822402,1185.9477849769448,801.7285353054389,15.11738884
5,1999,5,5/1999,916.1446453813787,1020.7598668876099,911.6384806275714,2544.3910475655566,1226243.8864134406,1103299.5559970571,1420392.8079893542,961343.6496574462,34.05779114282322,16.577063440234202,9.24002561864691,54.44735463409497,15.764816199786292,6.972063844603813,50.64299728669886,882.7875461790751,60.0434594448647,41.693240335205736,7757.775628627691,162.7430952970036,181.70276652635138,180.14801930276087,5627.679876271832,1658.346269508024,1011.2799076629782,809.1087547574009,1947.9915299768486,0.010627279929274674,0.009561779151225027,0.012309877461800416,0.008331513972331974,1023.6942701239434,921.0577489669747,1185.7738863977613,802.5499630850438,18.39982535
2,1999,6,6/1999,2040.0689012149057,2363.227972734466,3001.75172867196,3494.99305217829,1224682.834401803,1101068.1151005353,1417058.5017143616,960671.1517499143,100.54712765293974,42.93044566612435,33.374451237733766,80.04765353197472,40.943453402048505,25.307829958228535,74.52680496482931,735.5984813197057,50.077823892184774,30.610154752534076,2984.1498964828897,309.34894147357164,350.4967202959456,493.55965107451385,2925.4606076335185,5453.66402059788,3315.269459329503,3748.6434174643687,3693.5977163754487,5403.774922472851,4858.338911250412,6252.610863923239,4238.853140376518,1022.391070966431,919.1948950231555,1182.9903371655353,801.9885476421304,21.83959341
3,1999,7,7/1999,1940.880226535193,2686.4470652496216,3655.402965813933,3486.0378031991772,1224196.997042135,1099792.9435440141,1415073.3523692994,960509.9505140446,122.25004066798051,53.534993616590384,43.798607970438965,84.27729736269728,49.29085118781344,33.6327708657967,60.14049415815043,595.7445576428296,44.40942965903577,25.408498457242818,4069.399337944931,-21.28677110602638,122.97981214932388,251.45392881956647,3310.5267766249567,7958.196787729121,5190.82380164575,6186.105834576207,4977.073758908518,6987.092321095014,6277.057409222169,8076.517241926714,5482.101096300144,1021.9854836874119,918.1303549016517,1181.333092605626,801.8539734490803,24.71715379
4,1999,8,8/1999,1670.7374730499284,2593.718222915331,3697.0329053744863,3459.9563149394316,1224061.6746848556,1098871.4504756446,1413743.0106617673,960764.2186968183,123.77262505819058,54.6289110820748,46.286338263178855,86.34002862226632,50.472975853477685,35.677204860490185,61.78647190616657,801.9063371492413,52.43603163216114,34.559470001163064,3747.388814307375,530.8479134272577,410.2962195891921,525.2915972091528,3306.4374524511563,8829.267944923076,6003.954136758583,7425.529892967339,5847.55224021516,8072.441240622421,7246.8368207394215,9323.351607953868,6336.047326634374,1021.8725137282532,917.361073044673,1180.2224952779682,802.0662418931184,26.33281884
2,1999,9,9/1999,133.92282712151865,164.78822420890185,289.6022343947804,1301.997790070441,1225256.5889602432,1100418.6695003777,1415950.9000390598,964225.4091075127,11.464645118145267,3.6337874263330523,3.75854030563965,33.34375060294326,3.367499674125694,2.906567264474927,23.919171730160443,9208.701892641795,1178.7003673122992,1071.2319537557894,37072.24909287414,1321.5752124400206,347.2272745421898,232.91733004999728,10130.505020283217,614.5728727740457,312.38595698250606,472.36075876866556,1785.8141177130572,0.01777343057488965,0.015962546132703984,0.020539620228162133,0.013986942426369622,1022.8700533780379,918.6527241328417,1182.0656879165979,804.9557166790837,24.15895843
3,1999,10,10/1999,618.4171310994825,1618.3897718167502,1393.4476607535091,3978.567105008031,1227175.6053190464,1102390.6201469717,1416627.5038634024,970031.829703231,10.189813353122455,18.07468331805474,10.1979453067691,66.42001420689257,18.07468331805474,10.1979453067691,66.42001420689257,2357.1838950840743,242.13838775308446,208.98202065317318,9903.030924076464,635.8805254418746,1781.7957572561456,1494.7369168828382,16691.99375134189,601.4152902519508,1014.5708163185985,825.8801768217239,2075.6645792812274,0.007655951586780671,0.006877458434624039,0.008837880690482323,0.006051714761648502,1024.4720887256121,920.298950140777,1182.6305310654998,809.8030391078639,14.72465221
